PED-1850,CLI-005,2026-08-20,ENTREGADO,SUR,false
PED-1851,CLI-001,2026-08-21,PENDIENTE,CENTRO,true
PED-1852,CLI-002,2026-08-22,CONFIRMADO,NORTE,false
PED-1853,CLI-003,2026-08-23,ENTREGADO,SUR,false
PED-1854,CLI-004,2026-08-24,CANCELADO,CENTRO,false
PED-1855,CLI-005,2026-08-25,PENDIENTE,NORTE,true
PED-1856,CLI-001,2026-08-26,CONFIRMADO,SUR,false
PED-1857,CLI-002,2026-08-27,ENTREGADO,CENTRO,false
PED-1858,CLI-003,2026-08-28,PENDIENTE,NORTE,false
PED-1859,CLI-004,2026-08-29,CONFIRMADO,SUR,false
PED-1860,CLI-005,2026-08-30,ENTREGADO,CENTRO,false
PED-1861,CLI-001,2026-09-01,PENDIENTE,NORTE,true
PED-1862,CLI-002,2026-09-02,CONFIRMADO,SUR,false
PED-1863,CLI-003,2026-09-03,ENTREGADO,CENTRO,false
PED-1864,CLI-004,2026-09-04,CANCELADO,NORTE,false
PED-1865,CLI-005,2026-09-05,PENDIENTE,SUR,true
PED-1866,CLI-001,2026-09-06,CONFIRMADO,CENTRO,false
PED-1867,CLI-002,2026-09-07,ENTREGADO,NORTE,false
PED-1868,CLI-003,2026-09-08,PENDIENTE,SUR,false
PED-1869,CLI-004,2026-09-09,CONFIRMADO,CENTRO,false
PED-1870,CLI-005,2026-09-10,ENTREGADO,NORTE,false
PED-1871,CLI-001,2026-09-11,PENDIENTE,SUR,true
PED-1872,CLI-002,2026-09-12,CONFIRMADO,CENTRO,false
PED-1873,CLI-003,2026-09-13,ENTREGADO,NORTE,false
PED-1874,CLI-004,2026-09-14,CANCELADO,SUR,false
PED-1875,CLI-005,2026-09-15,PENDIENTE,CENTRO,true
PED-1876,CLI-001,2026-09-16,CONFIRMADO,NORTE,false
PED-1877,CLI-002,2026-09-17,ENTREGADO,SUR,false
PED-1878,CLI-003,2026-09-18,PENDIENTE,CENTRO,false
PED-1879,CLI-004,2026-09-19,CONFIRMADO,NORTE,false
PED-1880,CLI-005,2026-09-20,ENTREGADO,SUR,false
PED-2801,CLI-001,2025-01-01,PENDIENTE,NORTE,false
PED-2802,CLI-002,2024-05-15,CONFIRMADO,SUR,false
PED-2803,CLI-003,2023-12-31,ENTREGADO,CENTRO,false
PED-2804,CLI-004,2026-02-10,CANCELADO,NORTE,false
PED-2805,CLI-005,2026-10-01,PENDIENTE,OESTE,false
PED-2806,CLI-001,2026-10-02,CONFIRMADO,EXTRANJERO,false
PED-2807,CLI-002,2026-10-03,ENTREGADO,ESTE,false
PED-2808,CLI-003,2026-10-04,CANCELADO,RURAL,false
PED-2809,CLI-004,2026-10-05,PERDIDO,NORTE,false
PED-2810,CLI-005,2026-10-06,DEVUELTO,SUR,false
PED-2811,CLI-001,2026-10-07,PROCESANDO,CENTRO,false
PED-2812,CLI-002,2026-10-08,RETENIDO,NORTE,false
PED-2813,CLI-003,2026-10-09,CONFIRMADO,SUR,true
PED-2814,CLI-004,2026-10-10,ENTREGADO,CENTRO,true
PED-2815,CLI-005,2026-10-11,CANCELADO,NORTE,true
PED-2816,CLI-001,2026-10-12,CONFIRMADO,SUR,true
PED-2817,,2026-10-13,PENDIENTE,CENTRO,false
PED-2818,,2026-10-14,CONFIRMADO,NORTE,false
PED-2819,,2026-10-15,ENTREGADO,SUR,false
PED-2820,,2026-10-16,CANCELADO,CENTRO,false
